Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,15,89,104,Butler, 2.17%, 12.9%,15.07%,#FFFFD4,#FFFF55,#FFFF00,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,713,8,170,178,Butler, 1.12%,23.84%,24.96%,#FFFFAA,#D4E9D4,#FFFFD4,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,189,226,Butler, 4.92%,25.13%,30.05%,#FFFFFF,#AAD4AA,#AAD4AA,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,54,76,Butler, 5.02%,12.33%,17.35%,#FFFFFF,#FFFF2A,#FFFF2A,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,780,32,137,169,Butler,  4.1%,17.56%,21.67%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,112,136,Butler, 3.82%,17.83%,21.66%,#FFFFD4,#FFFFAA,#FFFFAA,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,24,95,119,Butler, 4.07%, 16.1%,20.17%,#FFFFD4,#FFFF7F,#FFFF7F,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,111,159,Butler, 4.52%,10.45%,14.97%,#FFFFFF,#FFFF00,#FFFF00,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,28,104,132,Butler, 4.12%,15.29%,19.41%,#FFFFFF,#FFFF7F,#FFFF55,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,820,15,90,105,Butler, 1.83%,10.98%, 12.8%,#FFFFAA,#FFFF2A,#FFFF00,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1062,26,197,223,Butler, 2.45%,18.55%,   21%,#FFFFD4,#FFFFD4,#FFFF7F,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,829,19,51,70,Butler, 2.29%, 6.15%, 8.44%,#FFFFD4,#FFFF00,#FFFF00,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
FAIR3WD2,699,20,123,143,Butler, 2.86%, 17.6%,20.46%,#FFFFD4,#FFFFAA,#FFFF7F,Butler&FAIR3WD2,BUTLERAAN,FAIR3WD2,FAIR3WD2,Fairfield
FAIR3WD3,640,16,155,171,Butler,  2.5%,24.22%,26.72%,#FFFFD4,#D4E9D4,#FFFFFF,Butler&FAIR3WD3,BUTLERAAV,FAIR3WD3,FAIR3WD3,Fairfield
FAIR3WD4,787,22,149,171,Butler,  2.8%,18.93%,21.73%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR3WD4,BUTLERABI,FAIR3WD4,FAIR3WD4,Fairfield
FAIR4WD1,779,25,66,91,Butler, 3.21%, 8.47%,11.68%,#FFFFD4,#FFFF00,#FFFF00,Butler&FAIR4WD1,BUTLERAAD,FAIR4WD1,FAIR4WD1,Fairfield
FAIR4WD2,645,29,27,56,Butler,  4.5%, 4.19%, 8.68%,#FFFFFF,#FFFF00,#FFFF00,Butler&FAIR4WD2,BUTLERAAO,FAIR4WD2,FAIR4WD2,Fairfield
FAIR4WD3,614,10,131,141,Butler, 1.63%,21.34%,22.96%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR4WD3,BUTLERAAW,FAIR4WD3,FAIR4WD3,Fairfield
FAIR4WD4,999,12,145,157,Butler,  1.2%,14.51%,15.72%,#FFFFAA,#FFFF55,#FFFF2A,Butler&FAIR4WD4,BUTLERABJ,FAIR4WD4,FAIR4WD4,Fairfield
FAIR5WD1,642,10,60,70,Butler, 1.56%, 9.35%, 10.9%,#FFFFAA,#FFFF00,#FFFF00,Butler&FAIR5WD1,BUTLERAAE,FAIR5WD1,FAIR5WD1,Fairfield
