Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,14,61,75,Butler, 2.03%, 8.84%,10.87%,#FFFFAA,#FFFFAA,#FFFF55,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,713,8,122,130,Butler, 1.12%,17.11%,18.23%,#FFFFAA,#AAD4AA,#FFFFFF,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,151,188,Butler, 4.92%,20.08%,   25%,#FFFFFF,#7FBF7F,#7FBF7F,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,30,52,Butler, 5.02%, 6.85%,11.87%,#FFFFFF,#FFFF7F,#FFFF7F,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,780,32,98,130,Butler,  4.1%,12.56%,16.67%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,75,99,Butler, 3.82%,11.94%,15.76%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,24,69,93,Butler, 4.07%,11.69%,15.76%,#FFFFFF,#FFFFD4,#FFFFAA,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,70,118,Butler, 4.52%, 6.59%,11.11%,#FFFFFF,#FFFF55,#FFFF55,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,28,69,97,Butler, 4.12%,10.15%,14.26%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,820,15,59,74,Butler, 1.83%,  7.2%, 9.02%,#FFFFAA,#FFFF7F,#FFFF2A,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1062,26,132,158,Butler, 2.45%,12.43%,14.88%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,829,19,29,48,Butler, 2.29%,  3.5%, 5.79%,#FFFFD4,#FFFF2A,#FFFF00,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
FAIR3WD2,699,20,98,118,Butler, 2.86%,14.02%,16.88%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD2,BUTLERAAN,FAIR3WD2,FAIR3WD2,Fairfield
FAIR3WD3,640,16,117,133,Butler,  2.5%,18.28%,20.78%,#FFFFD4,#AAD4AA,#D4E9D4,Butler&FAIR3WD3,BUTLERAAV,FAIR3WD3,FAIR3WD3,Fairfield
FAIR3WD4,787,20,104,124,Butler, 2.54%,13.21%,15.76%,#FFFFD4,#FFFFFF,#FFFFAA,Butler&FAIR3WD4,BUTLERABI,FAIR3WD4,FAIR3WD4,Fairfield
FAIR4WD1,779,25,38,63,Butler, 3.21%, 4.88%, 8.09%,#FFFFD4,#FFFF55,#FFFF2A,Butler&FAIR4WD1,BUTLERAAD,FAIR4WD1,FAIR4WD1,Fairfield
FAIR4WD2,645,29,20,49,Butler,  4.5%,  3.1%,  7.6%,#FFFFFF,#FFFF2A,#FFFF00,Butler&FAIR4WD2,BUTLERAAO,FAIR4WD2,FAIR4WD2,Fairfield
FAIR4WD3,614,10,72,82,Butler, 1.63%,11.73%,13.36%,#FFFFAA,#FFFFD4,#FFFF7F,Butler&FAIR4WD3,BUTLERAAW,FAIR4WD3,FAIR4WD3,Fairfield
FAIR4WD4,999,11,96,107,Butler,  1.1%, 9.61%,10.71%,#FFFFAA,#FFFFAA,#FFFF55,Butler&FAIR4WD4,BUTLERABJ,FAIR4WD4,FAIR4WD4,Fairfield
FAIR5WD1,642,10,32,42,Butler, 1.56%, 4.98%, 6.54%,#FFFFAA,#FFFF55,#FFFF00,Butler&FAIR5WD1,BUTLERAAE,FAIR5WD1,FAIR5WD1,Fairfield
FAIR5WD2,700,34,58,92,Butler, 4.86%, 8.29%,13.14%,#FFFFFF,#FFFF7F,#FFFF7F,Butler&FAIR5WD2,BUTLERAAP,FAIR5WD2,FAIR5WD2,Fairfield
FAIR5WD3,876,28,111,139,Butler,  3.2%,12.67%,15.87%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR5WD3,BUTLERAAX,FAIR5WD3,FAIR5WD3,Fairfield
FAIR5WD4,767,20,97,117,Butler, 2.61%,12.65%,15.25%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR5WD4,BUTLERABK,FAIR5WD4,FAIR5WD4,Fairfield
FAIR6WD1,1013,20,47,67,Butler, 1.97%, 4.64%, 6.61%,#FFFFAA,#FFFF2A,#FFFF00,Butler&FAIR6WD1,BUTLERAAF,FAIR6WD1,FAIR6WD1,Fairfield
