Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,14,72,86,Butler, 2.03%,10.43%,12.46%,#FFFFAA,#FFFF7F,#FFFF2A,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,713,8,141,149,Butler, 1.12%,19.78%, 20.9%,#FFFFAA,#AAD4AA,#FFFFFF,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,164,201,Butler, 4.92%,21.81%,26.73%,#FFFFFF,#7FBF7F,#7FBF7F,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,37,59,Butler, 5.02%, 8.45%,13.47%,#FFFFFF,#FFFF55,#FFFF55,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,780,32,113,145,Butler,  4.1%,14.49%,18.59%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,88,112,Butler, 3.82%,14.01%,17.83%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,24,78,102,Butler, 4.07%,13.22%,17.29%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,85,133,Butler, 4.52%,    8%,12.52%,#FFFFFF,#FFFF55,#FFFF55,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,28,81,109,Butler, 4.12%,11.91%,16.03%,#FFFFFF,#FFFFAA,#FFFF7F,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,820,15,70,85,Butler, 1.83%, 8.54%,10.37%,#FFFFAA,#FFFF55,#FFFF00,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1062,26,154,180,Butler, 2.45%, 14.5%,16.95%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,829,19,34,53,Butler, 2.29%,  4.1%, 6.39%,#FFFFD4,#FFFF00,#FFFF00,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
FAIR3WD2,699,20,111,131,Butler, 2.86%,15.88%,18.74%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD2,BUTLERAAN,FAIR3WD2,FAIR3WD2,Fairfield
FAIR3WD3,640,16,133,149,Butler,  2.5%,20.78%,23.28%,#FFFFD4,#AAD4AA,#D4E9D4,Butler&FAIR3WD3,BUTLERAAV,FAIR3WD3,FAIR3WD3,Fairfield
FAIR3WD4,787,20,120,140,Butler, 2.54%,15.25%,17.79%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR3WD4,BUTLERABI,FAIR3WD4,FAIR3WD4,Fairfield
FAIR4WD1,779,25,51,76,Butler, 3.21%, 6.55%, 9.76%,#FFFFD4,#FFFF2A,#FFFF00,Butler&FAIR4WD1,BUTLERAAD,FAIR4WD1,FAIR4WD1,Fairfield
FAIR4WD2,645,29,23,52,Butler,  4.5%, 3.57%, 8.06%,#FFFFFF,#FFFF00,#FFFF00,Butler&FAIR4WD2,BUTLERAAO,FAIR4WD2,FAIR4WD2,Fairfield
