Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,14,50,64,Butler, 2.03%, 7.25%, 9.28%,#FFFFAA,#FFFFAA,#FFFF55,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,713,8,106,114,Butler, 1.12%,14.87%,15.99%,#FFFFAA,#AAD4AA,#FFFFFF,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,138,175,Butler, 4.92%,18.35%,23.27%,#FFFFFF,#7FBF7F,#7FBF7F,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,26,48,Butler, 5.02%, 5.94%,10.96%,#FFFFFF,#FFFF7F,#FFFF7F,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,780,32,80,112,Butler,  4.1%,10.26%,14.36%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,55,79,Butler, 3.82%, 8.76%,12.58%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,24,60,84,Butler, 4.07%,10.17%,14.24%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,55,103,Butler, 4.52%, 5.18%,  9.7%,#FFFFFF,#FFFF7F,#FFFF7F,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,28,58,86,Butler, 4.12%, 8.53%,12.65%,#FFFFFF,#FFFFD4,#FFFFAA,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,820,15,50,65,Butler, 1.83%,  6.1%, 7.93%,#FFFFAA,#FFFF7F,#FFFF55,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1062,26,116,142,Butler, 2.45%,10.92%,13.37%,#FFFFD4,#FFFFFF,#FFFFAA,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,829,19,20,39,Butler, 2.29%, 2.41%,  4.7%,#FFFFD4,#FFFF2A,#FFFF00,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
FAIR3WD2,699,20,81,101,Butler, 2.86%,11.59%,14.45%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD2,BUTLERAAN,FAIR3WD2,FAIR3WD2,Fairfield
FAIR3WD3,640,16,100,116,Butler,  2.5%,15.63%,18.13%,#FFFFD4,#AAD4AA,#D4E9D4,Butler&FAIR3WD3,BUTLERAAV,FAIR3WD3,FAIR3WD3,Fairfield
FAIR3WD4,787,20,87,107,Butler, 2.54%,11.05%, 13.6%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD4,BUTLERABI,FAIR3WD4,FAIR3WD4,Fairfield
FAIR4WD1,779,25,29,54,Butler, 3.21%, 3.72%, 6.93%,#FFFFD4,#FFFF55,#FFFF2A,Butler&FAIR4WD1,BUTLERAAD,FAIR4WD1,FAIR4WD1,Fairfield
FAIR4WD2,645,29,16,45,Butler,  4.5%, 2.48%, 6.98%,#FFFFFF,#FFFF55,#FFFF2A,Butler&FAIR4WD2,BUTLERAAO,FAIR4WD2,FAIR4WD2,Fairfield
FAIR4WD3,614,10,61,71,Butler, 1.63%, 9.93%,11.56%,#FFFFAA,#FFFFD4,#FFFFAA,Butler&FAIR4WD3,BUTLERAAW,FAIR4WD3,FAIR4WD3,Fairfield
FAIR4WD4,999,11,75,86,Butler,  1.1%, 7.51%, 8.61%,#FFFFAA,#FFFFAA,#FFFF55,Butler&FAIR4WD4,BUTLERABJ,FAIR4WD4,FAIR4WD4,Fairfield
FAIR5WD1,642,10,23,33,Butler, 1.56%, 3.58%, 5.14%,#FFFFAA,#FFFF55,#FFFF00,Butler&FAIR5WD1,BUTLERAAE,FAIR5WD1,FAIR5WD1,Fairfield
FAIR5WD2,700,34,52,86,Butler, 4.86%, 7.43%,12.29%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR5WD2,BUTLERAAP,FAIR5WD2,FAIR5WD2,Fairfield
FAIR5WD3,876,28,96,124,Butler,  3.2%,10.96%,14.16%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR5WD3,BUTLERAAX,FAIR5WD3,FAIR5WD3,Fairfield
FAIR5WD4,767,20,80,100,Butler, 2.61%,10.43%,13.04%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR5WD4,BUTLERABK,FAIR5WD4,FAIR5WD4,Fairfield
FAIR6WD1,1013,20,38,58,Butler, 1.97%, 3.75%, 5.73%,#FFFFAA,#FFFF55,#FFFF2A,Butler&FAIR6WD1,BUTLERAAF,FAIR6WD1,FAIR6WD1,Fairfield
FAIR6WD2,740,25,56,81,Butler, 3.38%, 7.57%,10.95%,#FFFFD4,#FFFFAA,#FFFF7F,Butler&FAIR6WD2,BUTLERAAQ,FAIR6WD2,FAIR6WD2,Fairfield
FAIR6WD3,694,19,63,82,Butler, 2.74%, 9.08%,11.82%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR6WD3,BUTLERAAY,FAIR6WD3,FAIR6WD3,Fairfield
