Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,13,22,35,Butler, 1.88%, 3.19%, 5.07%,#FFFFAA,#FFFFAA,#FFFF7F,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,715,8,51,59,Butler, 1.12%, 7.13%, 8.25%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,85,122,Butler, 4.92%, 11.3%,16.22%,#FFFFFF,#AAD4AA,#AAD4AA,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,10,32,Butler, 5.02%, 2.28%, 7.31%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,779,31,38,69,Butler, 3.98%, 4.88%, 8.86%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,38,62,Butler, 3.82%, 6.05%, 9.87%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,23,34,57,Butler,  3.9%, 5.76%, 9.66%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,34,82,Butler, 4.52%,  3.2%, 7.72%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,26,33,59,Butler, 3.82%, 4.85%, 8.68%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,821,14,30,44,Butler, 1.71%, 3.65%, 5.36%,#FFFFAA,#FFFFAA,#FFFF7F,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1064,26,72,98,Butler, 2.44%, 6.77%, 9.21%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,828,19,9,28,Butler, 2.29%, 1.09%, 3.38%,#FFFFD4,#FFFF7F,#FFFF55,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
FAIR3WD2,699,20,43,63,Butler, 2.86%, 6.15%, 9.01%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD2,BUTLERAAN,FAIR3WD2,FAIR3WD2,Fairfield
FAIR3WD3,640,16,59,75,Butler,  2.5%, 9.22%,11.72%,#FFFFD4,#D4E9D4,#FFFFFF,Butler&FAIR3WD3,BUTLERAAV,FAIR3WD3,FAIR3WD3,Fairfield
FAIR3WD4,787,20,50,70,Butler, 2.54%, 6.35%, 8.89%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD4,BUTLERABI,FAIR3WD4,FAIR3WD4,Fairfield
FAIR4WD1,778,25,15,40,Butler, 3.21%, 1.93%, 5.14%,#FFFFD4,#FFFFAA,#FFFF7F,Butler&FAIR4WD1,BUTLERAAD,FAIR4WD1,FAIR4WD1,Fairfield
FAIR4WD2,646,28,7,35,Butler, 4.33%, 1.08%, 5.42%,#FFFFFF,#FFFF7F,#FFFF7F,Butler&FAIR4WD2,BUTLERAAO,FAIR4WD2,FAIR4WD2,Fairfield
FAIR4WD3,614,9,32,41,Butler, 1.47%, 5.21%, 6.68%,#FFFFAA,#FFFFD4,#FFFF7F,Butler&FAIR4WD3,BUTLERAAW,FAIR4WD3,FAIR4WD3,Fairfield
FAIR4WD4,998,11,41,52,Butler,  1.1%, 4.11%, 5.21%,#FFFFAA,#FFFFD4,#FFFF7F,Butler&FAIR4WD4,BUTLERABJ,FAIR4WD4,FAIR4WD4,Fairfield
FAIR5WD1,642,10,10,20,Butler, 1.56%, 1.56%, 3.12%,#FFFFAA,#FFFF7F,#FFFF55,Butler&FAIR5WD1,BUTLERAAE,FAIR5WD1,FAIR5WD1,Fairfield
FAIR5WD2,700,34,25,59,Butler, 4.86%, 3.57%, 8.43%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR5WD2,BUTLERAAP,FAIR5WD2,FAIR5WD2,Fairfield
FAIR5WD3,875,28,53,81,Butler,  3.2%, 6.06%, 9.26%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR5WD3,BUTLERAAX,FAIR5WD3,FAIR5WD3,Fairfield
FAIR5WD4,767,20,51,71,Butler, 2.61%, 6.65%, 9.26%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR5WD4,BUTLERABK,FAIR5WD4,FAIR5WD4,Fairfield
FAIR6WD1,1012,20,23,43,Butler, 1.98%, 2.27%, 4.25%,#FFFFAA,#FFFFAA,#FFFF55,Butler&FAIR6WD1,BUTLERAAF,FAIR6WD1,FAIR6WD1,Fairfield
FAIR6WD2,740,25,34,59,Butler, 3.38%, 4.59%, 7.97%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR6WD2,BUTLERAAQ,FAIR6WD2,FAIR6WD2,Fairfield
FAIR6WD3,695,19,31,50,Butler, 2.73%, 4.46%, 7.19%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR6WD3,BUTLERAAY,FAIR6WD3,FAIR6WD3,Fairfield
FAIR6WD4,829,36,48,84,Butler, 4.34%, 5.79%,10.13%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR6WD4,BUTLERABL,FAIR6WD4,FAIR6WD4,Fairfield
FAIR7WD1,727,20,20,40,Butler, 2.75%, 2.75%,  5.5%,#FFFFD4,#FFFFAA,#FFFF7F,Butler&FAIR7WD1,BUTLERAAG,FAIR7WD1,FAIR7WD1,Fairfield
