Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,14,84,98,Butler, 2.03%,12.17%, 14.2%,#FFFFAA,#FFFF55,#FFFF2A,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,713,8,156,164,Butler, 1.12%,21.88%,   23%,#FFFFAA,#D4E9D4,#FFFFD4,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,180,217,Butler, 4.92%,23.94%,28.86%,#FFFFFF,#AAD4AA,#AAD4AA,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,51,73,Butler, 5.02%,11.64%,16.67%,#FFFFFF,#FFFF55,#FFFF55,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,780,32,127,159,Butler,  4.1%,16.28%,20.38%,#FFFFFF,#FFFFD4,#FFFFAA,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,95,119,Butler, 3.82%,15.13%,18.95%,#FFFFD4,#FFFFAA,#FFFF7F,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,24,86,110,Butler, 4.07%,14.58%,18.64%,#FFFFFF,#FFFFAA,#FFFF7F,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,99,147,Butler, 4.52%, 9.32%,13.84%,#FFFFFF,#FFFF2A,#FFFF2A,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,28,97,125,Butler, 4.12%,14.26%,18.38%,#FFFFFF,#FFFFAA,#FFFF7F,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,820,15,75,90,Butler, 1.83%, 9.15%,10.98%,#FFFFAA,#FFFF2A,#FFFF00,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1062,26,181,207,Butler, 2.45%,17.04%,19.49%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,829,19,45,64,Butler, 2.29%, 5.43%, 7.72%,#FFFFD4,#FFFF00,#FFFF00,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
FAIR3WD2,699,20,118,138,Butler, 2.86%,16.88%,19.74%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR3WD2,BUTLERAAN,FAIR3WD2,FAIR3WD2,Fairfield
FAIR3WD3,640,16,147,163,Butler,  2.5%,22.97%,25.47%,#FFFFD4,#AAD4AA,#D4E9D4,Butler&FAIR3WD3,BUTLERAAV,FAIR3WD3,FAIR3WD3,Fairfield
FAIR3WD4,787,20,138,158,Butler, 2.54%,17.53%,20.08%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR3WD4,BUTLERABI,FAIR3WD4,FAIR3WD4,Fairfield
FAIR4WD1,779,25,60,85,Butler, 3.21%,  7.7%,10.91%,#FFFFD4,#FFFF00,#FFFF00,Butler&FAIR4WD1,BUTLERAAD,FAIR4WD1,FAIR4WD1,Fairfield
FAIR4WD2,645,29,25,54,Butler,  4.5%, 3.88%, 8.37%,#FFFFFF,#FFFF00,#FFFF00,Butler&FAIR4WD2,BUTLERAAO,FAIR4WD2,FAIR4WD2,Fairfield
FAIR4WD3,614,10,120,130,Butler, 1.63%,19.54%,21.17%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR4WD3,BUTLERAAW,FAIR4WD3,FAIR4WD3,Fairfield
FAIR4WD4,999,11,130,141,Butler,  1.1%,13.01%,14.11%,#FFFFAA,#FFFF7F,#FFFF2A,Butler&FAIR4WD4,BUTLERABJ,FAIR4WD4,FAIR4WD4,Fairfield
FAIR5WD1,642,10,52,62,Butler, 1.56%,  8.1%, 9.66%,#FFFFAA,#FFFF00,#FFFF00,Butler&FAIR5WD1,BUTLERAAE,FAIR5WD1,FAIR5WD1,Fairfield
FAIR5WD2,700,34,86,120,Butler, 4.86%,12.29%,17.14%,#FFFFFF,#FFFF7F,#FFFF55,Butler&FAIR5WD2,BUTLERAAP,FAIR5WD2,FAIR5WD2,Fairfield
FAIR5WD3,876,28,150,178,Butler,  3.2%,17.12%,20.32%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR5WD3,BUTLERAAX,FAIR5WD3,FAIR5WD3,Fairfield
FAIR5WD4,767,20,142,162,Butler, 2.61%,18.51%,21.12%,#FFFFD4,#FFFFFF,#FFFFAA,Butler&FAIR5WD4,BUTLERABK,FAIR5WD4,FAIR5WD4,Fairfield
FAIR6WD1,1013,20,65,85,Butler, 1.97%, 6.42%, 8.39%,#FFFFAA,#FFFF00,#FFFF00,Butler&FAIR6WD1,BUTLERAAF,FAIR6WD1,FAIR6WD1,Fairfield
FAIR6WD2,740,25,87,112,Butler, 3.38%,11.76%,15.14%,#FFFFD4,#FFFF55,#FFFF2A,Butler&FAIR6WD2,BUTLERAAQ,FAIR6WD2,FAIR6WD2,Fairfield
FAIR6WD3,694,19,111,130,Butler, 2.74%,15.99%,18.73%,#FFFFD4,#FFFFAA,#FFFF7F,Butler&FAIR6WD3,BUTLERAAY,FAIR6WD3,FAIR6WD3,Fairfield
FAIR6WD4,829,36,150,186,Butler, 4.34%,18.09%,22.44%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR6WD4,BUTLERABL,FAIR6WD4,FAIR6WD4,Fairfield
