Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,14,75,89,Butler, 2.03%,10.87%, 12.9%,#FFFFAA,#FFFF7F,#FFFF55,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,713,8,144,152,Butler, 1.12%, 20.2%,21.32%,#FFFFAA,#AAD4AA,#FFFFFF,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,169,206,Butler, 4.92%,22.47%,27.39%,#FFFFFF,#7FBF7F,#7FBF7F,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,40,62,Butler, 5.02%, 9.13%,14.16%,#FFFFFF,#FFFF55,#FFFF55,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,780,32,115,147,Butler,  4.1%,14.74%,18.85%,#FFFFFF,#FFFFD4,#FFFFAA,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,88,112,Butler, 3.82%,14.01%,17.83%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,24,79,103,Butler, 4.07%,13.39%,17.46%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,89,137,Butler, 4.52%, 8.38%, 12.9%,#FFFFFF,#FFFF55,#FFFF55,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,28,82,110,Butler, 4.12%,12.06%,16.18%,#FFFFFF,#FFFFAA,#FFFF7F,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,820,15,70,85,Butler, 1.83%, 8.54%,10.37%,#FFFFAA,#FFFF55,#FFFF00,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
