Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,13,7,20,Butler, 1.88%,1.01%,  2.9%,#FFFFAA,#FFFFD4,#FFFFAA,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,715,8,16,24,Butler, 1.12%,2.24%, 3.36%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,25,62,Butler, 4.92%,3.32%, 8.24%,#FFFFFF,#FFFFFF,#FFFFFF,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,4,26,Butler, 5.02%,0.91%, 5.94%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,779,31,17,48,Butler, 3.98%,2.18%, 6.16%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,9,33,Butler, 3.82%,1.43%, 5.25%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,23,7,30,Butler,  3.9%,1.19%, 5.08%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,8,56,Butler, 4.52%,0.75%, 5.27%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,26,12,38,Butler, 3.82%,1.76%, 5.59%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,821,14,13,27,Butler, 1.71%,1.58%, 3.29%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1064,26,20,46,Butler, 2.44%,1.88%, 4.32%,#FFFFD4,#FFFFFF,#FFFFAA,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,828,18,3,21,Butler, 2.17%,0.36%, 2.54%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
FAIR3WD2,699,20,11,31,Butler, 2.86%,1.57%, 4.43%,#FFFFD4,#FFFFFF,#FFFFAA,Butler&FAIR3WD2,BUTLERAAN,FAIR3WD2,FAIR3WD2,Fairfield
FAIR3WD3,640,16,15,31,Butler,  2.5%,2.34%, 4.84%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD3,BUTLERAAV,FAIR3WD3,FAIR3WD3,Fairfield
FAIR3WD4,787,20,14,34,Butler, 2.54%,1.78%, 4.32%,#FFFFD4,#FFFFFF,#FFFFAA,Butler&FAIR3WD4,BUTLERABI,FAIR3WD4,FAIR3WD4,Fairfield
FAIR4WD1,778,24,4,28,Butler, 3.08%,0.51%,  3.6%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR4WD1,BUTLERAAD,FAIR4WD1,FAIR4WD1,Fairfield
FAIR4WD2,646,28,0,28,Butler, 4.33%,   0%, 4.33%,#FFFFFF,#FFFFD4,#FFFFAA,Butler&FAIR4WD2,BUTLERAAO,FAIR4WD2,FAIR4WD2,Fairfield
FAIR4WD3,614,9,13,22,Butler, 1.47%,2.12%, 3.58%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR4WD3,BUTLERAAW,FAIR4WD3,FAIR4WD3,Fairfield
FAIR4WD4,998,11,16,27,Butler,  1.1%, 1.6%, 2.71%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR4WD4,BUTLERABJ,FAIR4WD4,FAIR4WD4,Fairfield
FAIR5WD1,642,10,2,12,Butler, 1.56%,0.31%, 1.87%,#FFFFAA,#FFFFD4,#FFFF7F,Butler&FAIR5WD1,BUTLERAAE,FAIR5WD1,FAIR5WD1,Fairfield
FAIR5WD2,700,34,5,39,Butler, 4.86%,0.71%, 5.57%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR5WD2,BUTLERAAP,FAIR5WD2,FAIR5WD2,Fairfield
FAIR5WD3,875,28,22,50,Butler,  3.2%,2.51%, 5.71%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR5WD3,BUTLERAAX,FAIR5WD3,FAIR5WD3,Fairfield
FAIR5WD4,767,20,23,43,Butler, 2.61%,   3%, 5.61%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR5WD4,BUTLERABK,FAIR5WD4,FAIR5WD4,Fairfield
FAIR6WD1,1012,18,4,22,Butler, 1.78%, 0.4%, 2.17%,#FFFFAA,#FFFFD4,#FFFF7F,Butler&FAIR6WD1,BUTLERAAF,FAIR6WD1,FAIR6WD1,Fairfield
FAIR6WD2,740,25,11,36,Butler, 3.38%,1.49%, 4.86%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR6WD2,BUTLERAAQ,FAIR6WD2,FAIR6WD2,Fairfield
FAIR6WD3,695,19,11,30,Butler, 2.73%,1.58%, 4.32%,#FFFFD4,#FFFFFF,#FFFFAA,Butler&FAIR6WD3,BUTLERAAY,FAIR6WD3,FAIR6WD3,Fairfield
FAIR6WD4,829,36,8,44,Butler, 4.34%,0.97%, 5.31%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR6WD4,BUTLERABL,FAIR6WD4,FAIR6WD4,Fairfield
FAIR7WD1,727,20,4,24,Butler, 2.75%,0.55%,  3.3%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR7WD1,BUTLERAAG,FAIR7WD1,FAIR7WD1,Fairfield
FAIR7WD2,835,20,9,29,Butler,  2.4%,1.08%, 3.47%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR7WD2,BUTLERAAR,FAIR7WD2,FAIR7WD2,Fairfield
FAIR7WD3,720,26,18,44,Butler, 3.61%, 2.5%, 6.11%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR7WD3,BUTLERAAZ,FAIR7WD3,FAIR7WD3,Fairfield
FAIR7WD4,771,12,18,30,Butler, 1.56%,2.33%, 3.89%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR7WD4,BUTLERABM,FAIR7WD4,FAIR7WD4,Fairfield
FAIR8WD1,653,21,1,22,Butler, 3.22%,0.15%, 3.37%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR8WD1,BUTLERAAH,FAIR8WD1,FAIR8WD1,Fairfield
FAIR8WD2,344,9,3,12,Butler, 2.62%,0.87%, 3.49%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR8WD2,BUTLERAAS,FAIR8WD2,FAIR8WD2,Fairfield
FAIR8WD3,630,21,3,24,Butler, 3.33%,0.48%, 3.81%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR8WD3,BUTLERABA,FAIR8WD3,FAIR8WD3,Fairfield
FAIR8WD4,752,26,8,34,Butler, 3.46%,1.06%, 4.52%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR8WD4,BUTLERABN,FAIR8WD4,FAIR8WD4,Fairfield
