Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,14,85,99,Butler, 2.03%,12.32%,14.35%,#FFFFAA,#FFFF55,#FFFF2A,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,713,8,160,168,Butler, 1.12%,22.44%,23.56%,#FFFFAA,#D4E9D4,#FFFFD4,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,181,218,Butler, 4.92%,24.07%,28.99%,#FFFFFF,#AAD4AA,#AAD4AA,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,52,74,Butler, 5.02%,11.87%,16.89%,#FFFFFF,#FFFF55,#FFFF55,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,780,32,130,162,Butler,  4.1%,16.67%,20.77%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,102,126,Butler, 3.82%,16.24%,20.06%,#FFFFD4,#FFFFAA,#FFFFAA,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,24,87,111,Butler, 4.07%,14.75%,18.81%,#FFFFFF,#FFFF7F,#FFFF7F,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,101,149,Butler, 4.52%, 9.51%,14.03%,#FFFFFF,#FFFF2A,#FFFF00,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,28,101,129,Butler, 4.12%,14.85%,18.97%,#FFFFFF,#FFFF7F,#FFFF7F,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,820,15,84,99,Butler, 1.83%,10.24%,12.07%,#FFFFAA,#FFFF2A,#FFFF00,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1062,26,184,210,Butler, 2.45%,17.33%,19.77%,#FFFFD4,#FFFFD4,#FFFF7F,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,829,19,46,65,Butler, 2.29%, 5.55%, 7.84%,#FFFFD4,#FFFF00,#FFFF00,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
FAIR3WD2,699,20,121,141,Butler, 2.86%,17.31%,20.17%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR3WD2,BUTLERAAN,FAIR3WD2,FAIR3WD2,Fairfield
FAIR3WD3,640,16,149,165,Butler,  2.5%,23.28%,25.78%,#FFFFD4,#AAD4AA,#FFFFFF,Butler&FAIR3WD3,BUTLERAAV,FAIR3WD3,FAIR3WD3,Fairfield
