Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,13,39,52,Butler, 1.88%, 5.65%, 7.54%,#FFFFAA,#FFFFAA,#FFFF55,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,713,8,77,85,Butler, 1.12%, 10.8%,11.92%,#FFFFAA,#D4E9D4,#FFFFD4,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,122,159,Butler, 4.92%,16.22%,21.14%,#FFFFFF,#7FBF7F,#7FBF7F,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,19,41,Butler, 5.02%, 4.34%, 9.36%,#FFFFFF,#FFFF7F,#FFFF7F,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,780,31,62,93,Butler, 3.97%, 7.95%,11.92%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,50,74,Butler, 3.82%, 7.96%,11.78%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,23,54,77,Butler,  3.9%, 9.15%,13.05%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,45,93,Butler, 4.52%, 4.24%, 8.76%,#FFFFFF,#FFFF7F,#FFFF7F,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,26,50,76,Butler, 3.82%, 7.35%,11.18%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,820,14,42,56,Butler, 1.71%, 5.12%, 6.83%,#FFFFAA,#FFFFAA,#FFFF55,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
