Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,13,0,13,Butler, 1.88%,   0%, 1.88%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,715,8,0,8,Butler, 1.12%,   0%, 1.12%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,0,37,Butler, 4.92%,   0%, 4.92%,#FFFFFF,#FFFFFF,#FFFFFF,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,0,22,Butler, 5.02%,   0%, 5.02%,#FFFFFF,#FFFFFF,#FFFFFF,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,779,31,0,31,Butler, 3.98%,   0%, 3.98%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,0,24,Butler, 3.82%,   0%, 3.82%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,23,0,23,Butler,  3.9%,   0%,  3.9%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,0,48,Butler, 4.52%,   0%, 4.52%,#FFFFFF,#FFFFFF,#FFFFFF,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,26,0,26,Butler, 3.82%,   0%, 3.82%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,821,14,0,14,Butler, 1.71%,   0%, 1.71%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1064,26,0,26,Butler, 2.44%,   0%, 2.44%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,828,18,0,18,Butler, 2.17%,   0%, 2.17%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
FAIR3WD2,699,20,0,20,Butler, 2.86%,   0%, 2.86%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD2,BUTLERAAN,FAIR3WD2,FAIR3WD2,Fairfield
FAIR3WD3,640,16,0,16,Butler,  2.5%,   0%,  2.5%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD3,BUTLERAAV,FAIR3WD3,FAIR3WD3,Fairfield
FAIR3WD4,787,20,0,20,Butler, 2.54%,   0%, 2.54%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD4,BUTLERABI,FAIR3WD4,FAIR3WD4,Fairfield
FAIR4WD1,778,24,0,24,Butler, 3.08%,   0%, 3.08%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR4WD1,BUTLERAAD,FAIR4WD1,FAIR4WD1,Fairfield
FAIR4WD2,646,28,0,28,Butler, 4.33%,   0%, 4.33%,#FFFFFF,#FFFFFF,#FFFFFF,Butler&FAIR4WD2,BUTLERAAO,FAIR4WD2,FAIR4WD2,Fairfield
FAIR4WD3,614,9,0,9,Butler, 1.47%,   0%, 1.47%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR4WD3,BUTLERAAW,FAIR4WD3,FAIR4WD3,Fairfield
FAIR4WD4,998,11,0,11,Butler,  1.1%,   0%,  1.1%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR4WD4,BUTLERABJ,FAIR4WD4,FAIR4WD4,Fairfield
FAIR5WD1,642,10,0,10,Butler, 1.56%,   0%, 1.56%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR5WD1,BUTLERAAE,FAIR5WD1,FAIR5WD1,Fairfield
FAIR5WD2,700,34,0,34,Butler, 4.86%,   0%, 4.86%,#FFFFFF,#FFFFFF,#FFFFFF,Butler&FAIR5WD2,BUTLERAAP,FAIR5WD2,FAIR5WD2,Fairfield
