Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,14,69,83,Butler, 2.03%,   10%,12.03%,#FFFFAA,#FFFF7F,#FFFF55,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,713,8,132,140,Butler, 1.12%,18.51%,19.64%,#FFFFAA,#AAD4AA,#FFFFFF,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,156,193,Butler, 4.92%,20.74%,25.66%,#FFFFFF,#7FBF7F,#7FBF7F,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,35,57,Butler, 5.02%, 7.99%,13.01%,#FFFFFF,#FFFF55,#FFFF55,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,780,32,107,139,Butler,  4.1%,13.72%,17.82%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,79,103,Butler, 3.82%,12.58%, 16.4%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,24,73,97,Butler, 4.07%,12.37%,16.44%,#FFFFFF,#FFFFD4,#FFFFAA,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,72,120,Butler, 4.52%, 6.78%, 11.3%,#FFFFFF,#FFFF55,#FFFF2A,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,28,76,104,Butler, 4.12%,11.18%,15.29%,#FFFFFF,#FFFFAA,#FFFF7F,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,820,15,61,76,Butler, 1.83%, 7.44%, 9.27%,#FFFFAA,#FFFF55,#FFFF00,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1062,26,145,171,Butler, 2.45%,13.65%, 16.1%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,829,19,33,52,Butler, 2.29%, 3.98%, 6.27%,#FFFFD4,#FFFF00,#FFFF00,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
FAIR3WD2,699,20,105,125,Butler, 2.86%,15.02%,17.88%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD2,BUTLERAAN,FAIR3WD2,FAIR3WD2,Fairfield
FAIR3WD3,640,16,128,144,Butler,  2.5%,   20%, 22.5%,#FFFFD4,#AAD4AA,#D4E9D4,Butler&FAIR3WD3,BUTLERAAV,FAIR3WD3,FAIR3WD3,Fairfield
FAIR3WD4,787,20,113,133,Butler, 2.54%,14.36%, 16.9%,#FFFFD4,#FFFFFF,#FFFFAA,Butler&FAIR3WD4,BUTLERABI,FAIR3WD4,FAIR3WD4,Fairfield
FAIR4WD1,779,25,46,71,Butler, 3.21%, 5.91%, 9.11%,#FFFFD4,#FFFF2A,#FFFF00,Butler&FAIR4WD1,BUTLERAAD,FAIR4WD1,FAIR4WD1,Fairfield
FAIR4WD2,645,29,21,50,Butler,  4.5%, 3.26%, 7.75%,#FFFFFF,#FFFF00,#FFFF00,Butler&FAIR4WD2,BUTLERAAO,FAIR4WD2,FAIR4WD2,Fairfield
FAIR4WD3,614,10,93,103,Butler, 1.63%,15.15%,16.78%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR4WD3,BUTLERAAW,FAIR4WD3,FAIR4WD3,Fairfield
FAIR4WD4,999,11,107,118,Butler,  1.1%,10.71%,11.81%,#FFFFAA,#FFFFAA,#FFFF55,Butler&FAIR4WD4,BUTLERABJ,FAIR4WD4,FAIR4WD4,Fairfield
FAIR5WD1,642,10,40,50,Butler, 1.56%, 6.23%, 7.79%,#FFFFAA,#FFFF2A,#FFFF00,Butler&FAIR5WD1,BUTLERAAE,FAIR5WD1,FAIR5WD1,Fairfield
FAIR5WD2,700,34,64,98,Butler, 4.86%, 9.14%,   14%,#FFFFFF,#FFFF7F,#FFFF7F,Butler&FAIR5WD2,BUTLERAAP,FAIR5WD2,FAIR5WD2,Fairfield
FAIR5WD3,876,28,124,152,Butler,  3.2%,14.16%,17.35%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR5WD3,BUTLERAAX,FAIR5WD3,FAIR5WD3,Fairfield
FAIR5WD4,767,20,106,126,Butler, 2.61%,13.82%,16.43%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR5WD4,BUTLERABK,FAIR5WD4,FAIR5WD4,Fairfield
FAIR6WD1,1013,20,49,69,Butler, 1.97%, 4.84%, 6.81%,#FFFFAA,#FFFF2A,#FFFF00,Butler&FAIR6WD1,BUTLERAAF,FAIR6WD1,FAIR6WD1,Fairfield
FAIR6WD2,740,25,71,96,Butler, 3.38%, 9.59%,12.97%,#FFFFD4,#FFFF7F,#FFFF55,Butler&FAIR6WD2,BUTLERAAQ,FAIR6WD2,FAIR6WD2,Fairfield
FAIR6WD3,694,19,84,103,Butler, 2.74%, 12.1%,14.84%,#FFFFD4,#FFFFAA,#FFFF7F,Butler&FAIR6WD3,BUTLERAAY,FAIR6WD3,FAIR6WD3,Fairfield
FAIR6WD4,829,36,118,154,Butler, 4.34%,14.23%,18.58%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR6WD4,BUTLERABL,FAIR6WD4,FAIR6WD4,Fairfield
FAIR7WD1,725,21,66,87,Butler,  2.9%,  9.1%,   12%,#FFFFD4,#FFFF7F,#FFFF55,Butler&FAIR7WD1,BUTLERAAG,FAIR7WD1,FAIR7WD1,Fairfield
FAIR7WD2,835,20,52,72,Butler,  2.4%, 6.23%, 8.62%,#FFFFD4,#FFFF2A,#FFFF00,Butler&FAIR7WD2,BUTLERAAR,FAIR7WD2,FAIR7WD2,Fairfield
FAIR7WD3,721,30,81,111,Butler, 4.16%,11.23%, 15.4%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR7WD3,BUTLERAAZ,FAIR7WD3,FAIR7WD3,Fairfield
FAIR7WD4,771,12,86,98,Butler, 1.56%,11.15%,12.71%,#FFFFAA,#FFFFAA,#FFFF55,Butler&FAIR7WD4,BUTLERABM,FAIR7WD4,FAIR7WD4,Fairfield
