Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,13,12,25,Butler, 1.88%, 1.74%, 3.62%,#FFFFAA,#FFFFD4,#FFFF7F,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,715,8,29,37,Butler, 1.12%, 4.06%, 5.17%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,40,77,Butler, 4.92%, 5.32%,10.24%,#FFFFFF,#D4E9D4,#D4E9D4,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,9,31,Butler, 5.02%, 2.05%, 7.08%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,779,31,21,52,Butler, 3.98%,  2.7%, 6.68%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,20,44,Butler, 3.82%, 3.18%, 7.01%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,23,15,38,Butler,  3.9%, 2.54%, 6.44%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,17,65,Butler, 4.52%,  1.6%, 6.12%,#FFFFFF,#FFFFD4,#FFFFD4,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,26,17,43,Butler, 3.82%,  2.5%, 6.32%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,821,14,20,34,Butler, 1.71%, 2.44%, 4.14%,#FFFFAA,#FFFFD4,#FFFFAA,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1064,26,41,67,Butler, 2.44%, 3.85%,  6.3%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,828,19,8,27,Butler, 2.29%, 0.97%, 3.26%,#FFFFD4,#FFFFD4,#FFFF7F,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
